"Donor.ID","Donor.City","Donor.State","Donor.Is.Teacher","Donor.Zip"
"534e510055cdab7a47e7e15bdfc26772","College Station","Texas","No","778"
"59e48fce3c11ea5fc41772ea27e7a519","Sammamish","Washington","No","980"
"5b8effad90bd8ddbdc6403c2300cb409","Keller","Texas","No","762"
"5c54c5d34438681b99fb8da35ac9f9b5","Purcellville","Virginia","No","201"
"5eac521b3150ef4e094da7ce9c4fa828","Cotuit","Massachusetts","No","026"
"6264f333077be3c2b00db69b89212682","Haslet","Texas","No","760"
"62df0723ae72ca27cb188e92cbdfdd40","Capon Bridge","West Virginia","Yes","267"
"62df0723ae72ca27cb188e92cbdfdd40","Capon Bridge","West Virginia","Yes","267"
"62df0723ae72ca27cb188e92cbdfdd40","Capon Bridge","West Virginia","Yes","267"
"6474277b843b6102a04cd9450977da25","Bakersfield","California","No","933"
"682baa3e101be55e47deb408995bdff3","Conroe","Texas","Yes","773"
"774903a39fc83e817d10337b5117e076","Slanesville","West Virginia","No","254"
"782edd2b171bf66e4efe4eb590307e63","Gore","Virginia","No","226"
"7850fa9e56ec957ac57a029db314bb85","Kirkland","other","Yes","980"
"7850fa9e56ec957ac57a029db314bb85","Kirkland","other","Yes","980"
"796dc40e896c4a0100c29fa025e94fea","Garland","Texas","No","750"
"7c12dbdc20a77fc87cf4dfc590a22c87","Winchester","Virginia","No","226"
"7cb1ea8496ef3359d41e0e954bfaaaea","Augusta","West Virginia","No","267"
"7f0d41044b127835962bff0fd3ef447e","Enon","Ohio","No","453"
"879353fe0aeaecd5ffccb165c0fc5bea","Oxford","Michigan","No","483"
"8acbc5c2e2146287d7a778b8aca14ae8","Freeport","Florida","No","162"
"8cc31c383229c250b510ce1fc18d0be0","Garland","Texas","No","750"
"8ea39d1282862d970db0d36145068dbb","Fairfax Station","Virginia","No","220"
"8ef8db6df5e038496841ca5018c81702","Little Rock","Arkansas","No","722"
"922f9b701bfe745011eba7d8975c6377","Ludlow","Massachusetts","No","010"
"942a59714776f8b1d0c53a5f8873c694","Augusta","West Virginia","No","267"
"97df0b35f9a753d1c0f173da64d59fcb","Morgantown","West Virginia","No","265"
"a3dca47dbf475181ccec6c4a1ccc326f","Sammamish","Washington","No","980"
"a9d7a1d82ccec2749fca76166012a65f","Pittsburgh","Pennsylvania","No","152"
"acf5778c348f1a6dd94ab6dd0738ab4f","Charleston","West Virginia","No","253"
"acf5778c348f1a6dd94ab6dd0738ab4f","Charleston","West Virginia","No","253"
"acf5778c348f1a6dd94ab6dd0738ab4f","Charleston","West Virginia","No","253"
"ae10d1f1622e33b71d8d8885df3d9f9d","Carefree","Arizona","No","853"
"ae6328bb1d2bad27b309bb0d9650c53f","Romney","West Virginia","Yes","267"
"ae6328bb1d2bad27b309bb0d9650c53f","Romney","West Virginia","Yes","267"
"ae6328bb1d2bad27b309bb0d9650c53f","Romney","West Virginia","Yes","267"
"ae6328bb1d2bad27b309bb0d9650c53f","Romney","West Virginia","Yes","267"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b2d1446d745c2be37231faa3ab1658f4","Baltimore","Maryland","No","212"
"b4953f3bfb78142aba2b3967b0829ff6","Madison","New Jersey","No","079"
"c2baa935a93cb65d7a5555b96a0addd7","Fort Worth","Texas","No","761"
"c50c6180a0a40502035c7b6aa147ecf0","Morgantown","West Virginia","No","265"
"c6596565017a7c79d91d3746618f6af7","Ranger","Texas","No","764"
"c8258db4b846be6b5e8c486f9a22dc27","Los Altos","California","No","940"
"c8c9e61eb47b6451ccffe1ad341c6c6f","Santa Monica","California","No","904"
"ce9b627e68a52d76edcb072cc64fbf51","Plano","Texas","No","750"
"cf98973b5bee07c42dbc7ccefd340003","Warrenton","Virginia","No","201"
"d3f0c282f226c8f69a8bf6cf8a72cdde","Stafford","West Virginia","No","225"
"d4d4bcf28c69f551a7f20ea0e082dccd","Capon Bridge","West Virginia","No","267"
"d9adaade24cdf382c6305097b1ab3ccd","College Station","Texas","No","778"
"d9fd0c3f5865ff56e4c72c0c9370d732","Richmond","Virginia","Yes","232"
"dad68c7a59596cb9eda8b86c00f5a6ce","Keyser","West Virginia","No","267"
"dad68c7a59596cb9eda8b86c00f5a6ce","Keyser","West Virginia","No","267"
"dad68c7a59596cb9eda8b86c00f5a6ce","Keyser","West Virginia","No","267"
"dbdb11743012502736f273598bd90b71","Capon Bridge","West Virginia","No","267"
"dccfdef14097d0b23078c32bd483d249","Mount Dora","Florida","No","327"
"dccfdef14097d0b23078c32bd483d249","Mount Dora","Florida","No","327"
"dd3fbba6358b474946db6351427d7f80","Hurricane","West Virginia","Yes","255"
"e05c0b8da218aac4813ee744584b1cf7","Haltom City","Texas","No","761"
"e4e3da4a413d1366192ca0634cf8f6b5","La Crescenta","California","No","912"
"e8f5931f429f2c9910eab12663ae0713","Capon Bridge","West Virginia","No","267"
"ea10c4ee0950fab6be126cc58a2f6e5f","Weatherford","Texas","No","760"
"edeb7720b9ac5ac2b6c7b06991b9a0a2","Romney","West Virginia","No","267"
"edeb7720b9ac5ac2b6c7b06991b9a0a2","Romney","West Virginia","No","267"
"edeb7720b9ac5ac2b6c7b06991b9a0a2","Romney","West Virginia","No","267"
"edeb7720b9ac5ac2b6c7b06991b9a0a2","Romney","West Virginia","No","267"
"edeb7720b9ac5ac2b6c7b06991b9a0a2","Romney","West Virginia","No","267"
"edeb7720b9ac5ac2b6c7b06991b9a0a2","Romney","West Virginia","No","267"
"edeb7720b9ac5ac2b6c7b06991b9a0a2","Romney","West Virginia","No","267"
"eeef6bc9f26ace36235a13bce99cd37d","Philadelphia","Pennsylvania","No","191"
"f173b660757951813c694a60702b5a4e","Augusta","West Virginia","No","267"
"f63a852572f1b8a55e7f4d89a2d4ebcd","Cross Junction","Virginia","No","226"
"fafad13752e9f03cd083313886a8fdba","Cross Junction","Virginia","No","226"
"fafad13752e9f03cd083313886a8fdba","Cross Junction","Virginia","No","226"
"fc524e41445c38dca6082c481cbd4233","Winchester","Virginia","No","226"
"fcfc12d21cfcbd7de347d5be40e1baf2","Pilot Point","Texas","No","762"
