"Project.ID","Donation.ID","Donor.ID","Donation.Included.Optional.Donation","Donation.Amount","Donor.Cart.Sequence"
"1815a6f14dab5590700f5c127fa71448","8ab00fc4abb9f245eb87ae1bbe96a1c9","782edd2b171bf66e4efe4eb590307e63","Yes",10,2
"1815a6f14dab5590700f5c127fa71448","cdec6d722ee07ddbe1302e7fc4c22ad6","8ea39d1282862d970db0d36145068dbb","Yes",106.31,10
"1815a6f14dab5590700f5c127fa71448","126e89d6a60ba3c71f4befcc2f53df92","f63a852572f1b8a55e7f4d89a2d4ebcd","Yes",10,2
"1815a6f14dab5590700f5c127fa71448","c2b4aa0583b650cd5bdf5af459ecc629","edeb7720b9ac5ac2b6c7b06991b9a0a2","Yes",30,1
"186d694e6033a52ebe8f21146abab93a","b073a101a88b5d455e04890394a1679a","922f9b701bfe745011eba7d8975c6377","Yes",33.06,102
"186d694e6033a52ebe8f21146abab93a","87a91e16a25fc56f1dc3336cf3dc368d","6474277b843b6102a04cd9450977da25","No",40,8
"186d694e6033a52ebe8f21146abab93a","1858bf69670bc478bb696a28be5237de","20b07466669c06b408e145c41c70424f","Yes",18,4
"186d694e6033a52ebe8f21146abab93a","79aa70741bd4e8400b40cbe3de1da0bd","dbdb11743012502736f273598bd90b71","Yes",25,7
"1d113182ce7ed355130bcb4ee0b98d06","2f824e7c846918095ed2e32cdc9f4eb3","343131680533f32806d652f9168b2890","Yes",35,34
"1d113182ce7ed355130bcb4ee0b98d06","3a563b7c5645cfa0c13845e98f90a341","ae10d1f1622e33b71d8d8885df3d9f9d","Yes",67.66,6
"1d113182ce7ed355130bcb4ee0b98d06","9c7902099c3d6c1af950d93711b8d127","343131680533f32806d652f9168b2890","Yes",35,35
"1d113182ce7ed355130bcb4ee0b98d06","e45337739adef55e4c6676da1e29f120","3d62fd93b202746020b5a3417eec7917","Yes",100,1
"1d113182ce7ed355130bcb4ee0b98d06","e04ee25b227a51503da72d38b3faf9c7","343131680533f32806d652f9168b2890","Yes",72.31,33
"1d113182ce7ed355130bcb4ee0b98d06","3bad8276fa60139286228e438e75a226","1dc1697372e6e4b6771f911a0d658bab","Yes",25,2
"1d113182ce7ed355130bcb4ee0b98d06","9443d7d60035f084b3b663fb38b64723","eeef6bc9f26ace36235a13bce99cd37d","Yes",11.94,65
"2203c832fce0da8f68e998957225ea46","d9318c203c2024e9b498dd60c7251e89","ea10c4ee0950fab6be126cc58a2f6e5f","Yes",50,1
"2203c832fce0da8f68e998957225ea46","b3a7f8eefc65e28eef5e94e5424e5d50","534e510055cdab7a47e7e15bdfc26772","Yes",50,1
"2203c832fce0da8f68e998957225ea46","","ce9b627e68a52d76edcb072cc64fbf51","No",NA,1
"2203c832fce0da8f68e998957225ea46","c15f25803359225ae0b416c1ea4016ff","43b5d68a4d28263e2176f0dce857dbbd","No",20,2
"2203c832fce0da8f68e998957225ea46","12d03ea6ea185654f0721ac19ea4ce76","682baa3e101be55e47deb408995bdff3","No",5,17
"2203c832fce0da8f68e998957225ea46","34a3f5886cbbba3e5df0c20569a6ae74","43b5d68a4d28263e2176f0dce857dbbd","Yes",50,4
"2203c832fce0da8f68e998957225ea46","a285dc69136c18e381b0b70ca962c1fd","43b5d68a4d28263e2176f0dce857dbbd","Yes",20,3
"2203c832fce0da8f68e998957225ea46","b806c3c8d43c0537753bb392108f7af5","d9adaade24cdf382c6305097b1ab3ccd","Yes",50,1
"2203c832fce0da8f68e998957225ea46","","43b5d68a4d28263e2176f0dce857dbbd","No",NA,1
"26171023a4b7323f54b4e37eabd88d21","11d945630a3cb094aca2b2613ec195fc","1a491dbbaee5d2f917fcda008bfbc089","No",30,341
"26171023a4b7323f54b4e37eabd88d21","f28ed31e0dedbb8403245a1e97fc9eb8","015c50bdb7662cdce2dbd7ae8b72abf9","Yes",5,208
"26171023a4b7323f54b4e37eabd88d21","ebb2f7bf78b592701a9d29a7f318b68e","1a491dbbaee5d2f917fcda008bfbc089","No",25,366
"26171023a4b7323f54b4e37eabd88d21","b2a0135d7547809ee56659fff8e798a1","b2d1446d745c2be37231faa3ab1658f4","Yes",106.64,654
"26171023a4b7323f54b4e37eabd88d21","e0b6df3bd9e870f42702d103adcebed1","cf98973b5bee07c42dbc7ccefd340003","No",61.88,9
"26171023a4b7323f54b4e37eabd88d21","c03661202022944e49b45981c37dc925","b2d1446d745c2be37231faa3ab1658f4","Yes",50,665
"2942149566de6bc6c254a6ce423fe242","28fc14661f12502ce086e6f3cb94da02","f173b660757951813c694a60702b5a4e","Yes",100,2
"2942149566de6bc6c254a6ce423fe242","1692c1541096d4d31a621fe1a049a2c6","d3f0c282f226c8f69a8bf6cf8a72cdde","Yes",50,1
"2942149566de6bc6c254a6ce423fe242","3dbbedf19d151a820441436df08fe1fd","8acbc5c2e2146287d7a778b8aca14ae8","Yes",44.12,12
"2b5a1a020d2c425bd4dc6a5b9c70bcf0","f796bf4bd28834afbe9a2cd9d07e1feb","796dc40e896c4a0100c29fa025e94fea","Yes",25,1
"2b5a1a020d2c425bd4dc6a5b9c70bcf0","bcbc3eda05cade799a0d0ff9a485ff38","8cc31c383229c250b510ce1fc18d0be0","Yes",50,1
"3139fc21ea3ad811fae7c2789dbbf3e7","184d83285449a993da695232462f9c7a","fc524e41445c38dca6082c481cbd4233","Yes",75,10
"3ab95263dc1d8511301a8a728746c10a","129e3d620fe715bf1f94e0b884ee62bc","dccfdef14097d0b23078c32bd483d249","Yes",433.91,2
"3ab95263dc1d8511301a8a728746c10a","1cca8f6550f54803809e5a62361d77d8","879353fe0aeaecd5ffccb165c0fc5bea","Yes",25,1
"3ab95263dc1d8511301a8a728746c10a","2a6e7a1bf2f0bc9fc761a7e0f5bdb76a","dccfdef14097d0b23078c32bd483d249","Yes",100,1
"3c4014505f69def20f8eedf6d01a590c","6aedfecc9f69abb222a0b9ae3419b15e","edeb7720b9ac5ac2b6c7b06991b9a0a2","Yes",30,12
"3d8d36d06382fe8baae4a76d31a0c7d7","9b83167a66319f23bcabc57a31042311","ae6328bb1d2bad27b309bb0d9650c53f","Yes",20,2
"3d8d36d06382fe8baae4a76d31a0c7d7","761ba2aa306b6640cf1891ffe667edd7","e8f5931f429f2c9910eab12663ae0713","No",20,1
"3d8d36d06382fe8baae4a76d31a0c7d7","277a63ac0a419a8099b245bcba22b529","b4953f3bfb78142aba2b3967b0829ff6","Yes",124.08,18
"3d8d36d06382fe8baae4a76d31a0c7d7","","774903a39fc83e817d10337b5117e076","No",NA,1
"3d8d36d06382fe8baae4a76d31a0c7d7","","edeb7720b9ac5ac2b6c7b06991b9a0a2","No",NA,3
"3d8d36d06382fe8baae4a76d31a0c7d7","0303e9a9e2205923d5dda582fc1fd638","ae6328bb1d2bad27b309bb0d9650c53f","Yes",100,1
"40afc12203903d42aabe5b313f3790ab","21552dae47cfc6919aca8a85f7f77d0e","35218ddb4e4365560710b0e1ffd28bac","Yes",74.82,12
"40afc12203903d42aabe5b313f3790ab","586d3fcbf87a7fc09877dd20fd160687","acf5778c348f1a6dd94ab6dd0738ab4f","Yes",25,181
"40afc12203903d42aabe5b313f3790ab","515d1625bc8ed743769227756c90e491","b2d1446d745c2be37231faa3ab1658f4","Yes",55.18,440
"40afc12203903d42aabe5b313f3790ab","b8ee4a1fb558290d8eda78e43d6b248b","a9d7a1d82ccec2749fca76166012a65f","Yes",50,13
"40afc12203903d42aabe5b313f3790ab","4ffb87517602833ea79bc50b736354a4","d4d4bcf28c69f551a7f20ea0e082dccd","Yes",5,1
"4f43cc1c1ebf67240071e4ae705a2d51","b8ef2c0299757cd47f9382bb7c59636c","5eac521b3150ef4e094da7ce9c4fa828","No",25,18
"4f43cc1c1ebf67240071e4ae705a2d51","8fd10ae00e7ccbd6bb9ed7e18f8ca3e6","4432a46dae5bf54952a5cbc5d74aec37","Yes",10,45
"52bb69adbbd3f0cf97873daa5017f248","32ddbf72ee2062b0d8355c09b4c372a7","62df0723ae72ca27cb188e92cbdfdd40","Yes",55.36,3
"52bb69adbbd3f0cf97873daa5017f248","0d9bb841f7ddc35e7725e3d374e22ae1","942a59714776f8b1d0c53a5f8873c694","Yes",200,1
"582bfe05fcd091340103012ac67b9c60","c17e5823a725c1e266f2cff1b3abf107","fafad13752e9f03cd083313886a8fdba","Yes",20,10
"582bfe05fcd091340103012ac67b9c60","7e6dc21babf0da57b0a97803c09313a4","128a9ae42931fc7a121f1a9378dfb242","Yes",310,3
"582bfe05fcd091340103012ac67b9c60","2ddf84eafa07143a4c5eb11430ed6f6e","b2d1446d745c2be37231faa3ab1658f4","Yes",50,663
"582bfe05fcd091340103012ac67b9c60","3bd446f94de1edbe9243c999b75cd449","b2d1446d745c2be37231faa3ab1658f4","Yes",75.26,661
"582bfe05fcd091340103012ac67b9c60","a3d15ab29704db4947e30a54d1301e2b","fafad13752e9f03cd083313886a8fdba","Yes",10,11
"804f44c4efdc5f6294d76e6b74d024e0","56716ed26c4ba02c1b2b2bdc97f6f49d","5c54c5d34438681b99fb8da35ac9f9b5","Yes",15,9
"804f44c4efdc5f6294d76e6b74d024e0","dbd8b3f42cd24ce9938dacf3a53ca706","7cb1ea8496ef3359d41e0e954bfaaaea","Yes",140,2
"804f44c4efdc5f6294d76e6b74d024e0","00059b8eaa338e6ef244df2de5e1093a","e4e3da4a413d1366192ca0634cf8f6b5","Yes",89.21,3
"83491ed18f7bd6ff7a2d9402ceb5d948","35e79fb2731fa3675b56d680102e0c3b","acf5778c348f1a6dd94ab6dd0738ab4f","Yes",25,204
"89ec02b6148d44a45959bc4011cc0276","ca1925d71685c4177d70320d99375122","c8c9e61eb47b6451ccffe1ad341c6c6f","Yes",300.04,1
"89ec02b6148d44a45959bc4011cc0276","b66284ee2879b7e831a31e4178f2757a","b2d1446d745c2be37231faa3ab1658f4","Yes",104,760
"8c4a34fc54475d3b095df493676ad089","db16dfc08237e25c46080b6dbc3c56fc","7c12dbdc20a77fc87cf4dfc590a22c87","Yes",100,2
"8c4a34fc54475d3b095df493676ad089","d8c4637bbe1a678f1d4b167074e9bb80","b2d1446d745c2be37231faa3ab1658f4","Yes",75,452
"8c4a34fc54475d3b095df493676ad089","5cdaccf86dc2b2ed8e7630d669234129","394e00c00aba5d7e06ec89fb05d4158f","Yes",30,2
"8c4a34fc54475d3b095df493676ad089","a79fa0f456d23d4177ccb3450bba9240","dad68c7a59596cb9eda8b86c00f5a6ce","Yes",50,3
"8c4a34fc54475d3b095df493676ad089","afc6633c23c112dd452380f14aa3fc5f","b2d1446d745c2be37231faa3ab1658f4","Yes",57.95,446
"8c4a34fc54475d3b095df493676ad089","bf67356dea16691e5bb6083fc5d355b8","c50c6180a0a40502035c7b6aa147ecf0","No",123.25,6
"92a7f0fec467d023f7fab8c406efae61","02c7e931dda8e888049c748a0d37da2f","077751453cea9be2823f9fe32304d2ef","Yes",88.98,10
"92a7f0fec467d023f7fab8c406efae61","20630f559b6653da91d86e79d4107d06","97df0b35f9a753d1c0f173da64d59fcb","Yes",10,21
"a4578065715fb95253179bf96bbb8d64","8df232edd987b23827a03ce8fefc95ef","7f0d41044b127835962bff0fd3ef447e","Yes",77.04,23
"a4578065715fb95253179bf96bbb8d64","08c164c783c9c57936aaf6f6ef2cb601","edeb7720b9ac5ac2b6c7b06991b9a0a2","Yes",25,7
"ac68cf4c2e706362568893b1ad5797e9","ca225dc0aac93f41fce3880b8cb9134b","acf5778c348f1a6dd94ab6dd0738ab4f","Yes",25,173
"b1030084f2b53ce005a7dc1851c2a476","36e1bd0fff598e31a0795a8c8053f8f2","4432a46dae5bf54952a5cbc5d74aec37","Yes",10,45
"bbf71c8ffa548a092296e792b9110eff","e03507cf34cdfd533aeb446e1a795393","c8258db4b846be6b5e8c486f9a22dc27","Yes",20,1
"d5b6ee5438671d71c4e2fdd1429d5a13","e2df2ba25f016e5209b399c01fe109b1","ae6328bb1d2bad27b309bb0d9650c53f","Yes",25,3
"d5b6ee5438671d71c4e2fdd1429d5a13","","edeb7720b9ac5ac2b6c7b06991b9a0a2","No",NA,5
"eaef397a83fd95932662f89924677c17","bc1ac90c0cacce7a37644cc6502c3420","4432a46dae5bf54952a5cbc5d74aec37","Yes",10,45
"eaef397a83fd95932662f89924677c17","783a3235bc82d9aeea7b08b1d2ff9251","62df0723ae72ca27cb188e92cbdfdd40","Yes",20,4
"eaef397a83fd95932662f89924677c17","","edeb7720b9ac5ac2b6c7b06991b9a0a2","No",NA,9
"edba9de10e797c10cf38780e66fdd03d","4b8967c6723d7b0e45a0d413a80351df","b2d1446d745c2be37231faa3ab1658f4","Yes",121.4,749
"edba9de10e797c10cf38780e66fdd03d","13b21863cf7c6126be2502e15121e34e","dd3fbba6358b474946db6351427d7f80","Yes",5,83
"f8d8f84900457aeb98276c787696ab84","","a3dca47dbf475181ccec6c4a1ccc326f","No",NA,2
"f8d8f84900457aeb98276c787696ab84","938457fa3acdb3e16561085ced607101","7850fa9e56ec957ac57a029db314bb85","Yes",25,1
"f8d8f84900457aeb98276c787696ab84","c5a09d6063236f29ad72a4b5598b2bd7","7850fa9e56ec957ac57a029db314bb85","Yes",25,2
"f8d8f84900457aeb98276c787696ab84","95510876a5cb201d10ff7a03998850ca","368562f74f084bd227f63be392cd6342","Yes",357.35,1
"f8d8f84900457aeb98276c787696ab84","6adcc1174554f28184d24233c2ccc6cf","59e48fce3c11ea5fc41772ea27e7a519","Yes",25,1
"fd9770dcfe4c8066593d8518ef03b1c1","3bda1967b197c99d02ed6f1ff1fa3810","ae6328bb1d2bad27b309bb0d9650c53f","Yes",20,6
"fd9770dcfe4c8066593d8518ef03b1c1","","edeb7720b9ac5ac2b6c7b06991b9a0a2","No",NA,11
"fd9770dcfe4c8066593d8518ef03b1c1","14b1ed9edc1b9ca3a07a61e02005438e","b2d1446d745c2be37231faa3ab1658f4","Yes",54.48,759
